canonical_id,canonical_label,duplicate_id,duplicate_label,canonical_source_file,duplicate_source_file,canonical_key
paper_0100_robotics_hgs_planner_hierarchical_planning_framework_for_active_scene_reconstruct,HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct,0100_HGSPlanner,HGS-Planner,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md,0100_[Robotics]_HGS-Planner Hierarchical Planning Framework for Active Scene Reconstruct.md,0100_[robotics]_hgs_planner_hierarchical_planning_framework_for_active_scene_reconstruct
paper_0101_robotics_rt_guide_real_time_gaussian_splatting_for_information_driven_explorat,RT-GuIDE Real-Time Gaussian splatting for Information-Driven Explorat,0101_RTGuIDE,RT-GuIDE,0101_[Robotics]_RT-GuIDE Real-Time Gaussian splatting for Information-Driven Explorat.md,0101_[Robotics]_RT-GuIDE Real-Time Gaussian splatting for Information-Driven Explorat.md,0101_[robotics]_rt_guide_real_time_gaussian_splatting_for_information_driven_explorat
paper_0102_robotics_activesplat_high_fidelity_scene_reconstruction_through_active_gaussian_s,ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S,0102_ActiveSplat,ActiveSplat,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md,0102_[Robotics]_ActiveSplat High-Fidelity Scene Reconstruction through Active Gaussian S.md,0102_[robotics]_activesplat_high_fidelity_scene_reconstruction_through_active_gaussian_s
paper_0104_robotics_safer_splat_a_control_barrier_function_for_safe_navigation_with_online_g,SAFER-Splat A Control Barrier Function for Safe Navigation with Online G,0104_SAFERSplat,SAFER-Splat,0104_[Robotics]_SAFER-Splat A Control Barrier Function for Safe Navigation with Online G.md,0104_[Robotics]_SAFER-Splat A Control Barrier Function for Safe Navigation with Online G.md,0104_[robotics]_safer_splat_a_control_barrier_function_for_safe_navigation_with_online_g
paper_0106_robotics_activegs_active_scene_reconstruction_using_gaussian_splatting,ActiveGS Active Scene Reconstruction using Gaussian Splatting,0106_ActiveGS,ActiveGS,0106_[Robotics]_ActiveGS Active Scene Reconstruction using Gaussian Splatting.md,0106_[Robotics]_ActiveGS Active Scene Reconstruction using Gaussian Splatting.md,0106_[robotics]_activegs_active_scene_reconstruction_using_gaussian_splatting
paper_0128_robotics_gsloc_visual_localization_with_3d_gaussian_splatting,GSLoc Visual Localization with 3D Gaussian Splatting,0128_GSLoc,GSLoc,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md,0128_[Robotics]_GSLoc Visual Localization with 3D Gaussian Splatting.md,0128_[robotics]_gsloc_visual_localization_with_3d_gaussian_splatting
paper_0129_robotics_logs_visual_localization_via_gaussian_splatting_with_fewer_traini,LoGS Visual Localization via Gaussian Splatting with Fewer Traini,0129_LoGS,LoGS,0129_[Robotics]_LoGS Visual Localization via Gaussian Splatting with Fewer Traini.md,0129_[Robotics]_LoGS Visual Localization via Gaussian Splatting with Fewer Traini.md,0129_[robotics]_logs_visual_localization_via_gaussian_splatting_with_fewer_traini
paper_0130_robotics_splatloc_3d_gaussian_splatting_based_visual_localization_for_augmente,SplatLoc 3D Gaussian Splatting-based Visual Localization for Augmente,0130_GSplatLoc,SplatLoc,0130_[Robotics]_SplatLoc 3D Gaussian Splatting-based Visual Localization for Augmente.md,0130_[Robotics]_SplatLoc 3D Gaussian Splatting-based Visual Localization for Augmente.md,0130_[robotics]_splatloc_3d_gaussian_splatting_based_visual_localization_for_augmente
paper_0136_robotics_sgloc_semantic_localization_system_for_camera_pose_estimation_from,SGLoc Semantic Localization System for Camera Pose Estimation from,0136_sgloc,SGLoc: Semantic Localization System for Camera Geo-Localization,0136_[Robotics]_SGLoc Semantic Localization System for Camera Pose Estimation from.md,0136_[Robotics]_SGLoc Semantic Localization System for Camera Pose Estimation from.md,0136_[robotics]_sgloc_semantic_localization_system_for_camera_pose_estimation_from
paper_0140_robotics_dynamicgsg_dynamic_3d_gaussian_scene_graphs_for_environment_adaptation,DynamicGSG Dynamic 3D Gaussian Scene Graphs for Environment Adaptation,0140_dynamicgsg,DynamicGSG: Dynamic 3D Gaussian Scene Graphs for Environment Adaptation,0140_[Robotics]_DynamicGSG Dynamic 3D Gaussian Scene Graphs for Environment Adaptation.md,0140_[Robotics]_DynamicGSG Dynamic 3D Gaussian Scene Graphs for Environment Adaptation.md,0140_[robotics]_dynamicgsg_dynamic_3d_gaussian_scene_graphs_for_environment_adaptation
paper_0141_robotics_dqo_map_dual_quadrics_multi_object_mapping_with_gaussian_splatting,DQO-MAP Dual Quadrics Multi-Object mapping with Gaussian Splatting,0141_dqomap,DQO-MAP: Dual Quadrics Object-Level SLAM with Gaussian Splatting,0141_[Robotics]_DQO-MAP Dual Quadrics Multi-Object mapping with Gaussian Splatting.md,0141_[Robotics]_DQO-MAP Dual Quadrics Multi-Object mapping with Gaussian Splatting.md,0141_[robotics]_dqo_map_dual_quadrics_multi_object_mapping_with_gaussian_splatting
paper_0183_general_x_gs_an_extensible_open_framework_unifying_3dgs_architectur,X-GS An Extensible Open Framework Unifying 3DGS Architectur,0183_xgs,X-GS: Extensible Open Framework for Perceiving and Thinking via 3DGS,0183_[General]_X-GS An Extensible Open Framework Unifying 3DGS Architectur.md,0183_[General]_X-GS An Extensible Open Framework Unifying 3DGS Architectur.md,0183_[general]_x_gs_an_extensible_open_framework_unifying_3dgs_architectur
paper_0193_general_embedtalk_triplane_free_talking_head_synthesis_using_embedd,EmbedTalk Triplane-Free Talking Head Synthesis using Embedd,paper:0193,EmbedTalk: Triplane-Free Talking Head Synthesis using Embedded Deformations,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,0193_[General]_EmbedTalk Triplane-Free Talking Head Synthesis using Embedd.md,0193_[general]_embedtalk_triplane_free_talking_head_synthesis_using_embedd
paper_0197_general_active_view_selection_with_perturbed_gaussian_ensemble_for_t,Active View Selection with Perturbed Gaussian Ensemble for T,paper:0197,Active View Selection with Perturbed Gaussian Ensemble for Tomographic Reconstruction,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md,0197_[General]_Active View Selection with Perturbed Gaussian Ensemble for T.md,0197_[general]_active_view_selection_with_perturbed_gaussian_ensemble_for_t
paper_0200_general_transforming_omnidirectional_rgb_lidar_data_into_3d_gaussian,Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian,paper:0200,Transforming Omnidirectional RGB-LiDAR Data into 3D Gaussian Splatting,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md,0200_[General]_Transforming Omnidirectional RGB-LiDAR data into 3D Gaussian.md,0200_[general]_transforming_omnidirectional_rgb_lidar_data_into_3d_gaussian
paper_0201_general_ftsplat_feed_forward_triangle_splatting_network,FTSplat Feed-forward Triangle Splatting Network,paper:0201,FTSplat: Feed-forward Triangle Splatting Network,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md,0201_[General]_FTSplat Feed-forward Triangle Splatting Network.md,0201_[general]_ftsplat_feed_forward_triangle_splatting_network
paper_0204_general_ssr_gs_separating_specular_reflection_in_gaussian_splatting,SSR-GS Separating Specular Reflection in Gaussian Splatting,paper:0204,SSR-GS: Separating Specular Reflection in Gaussian Splatting,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,0204_[General]_SSR-GS Separating Specular Reflection in Gaussian Splatting.md,0204_[general]_ssr_gs_separating_specular_reflection_in_gaussian_splatting
paper_0205_general_gausstwin_unified_simulation_and_correction_with_gaussian_s,GaussTwin Unified Simulation and Correction with Gaussian S,paper:0205,GaussTwin: Unified Simulation and Correction with Gaussian Splatting for Robotic Digital Twins,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md,0205_[General]_GaussTwin Unified Simulation and Correction with Gaussian S.md,0205_[general]_gausstwin_unified_simulation_and_correction_with_gaussian_s
paper_0207_general_dsa_srgs_super_resolution_gaussian_splatting_for_dynamic_sp,DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp,paper:0207,DSA-SRGS: Super-Resolution Gaussian Splatting for Dynamic Sparse-View DSA Reconstruction,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md,0207_[General]_DSA-SRGS Super-Resolution Gaussian Splatting for Dynamic Sp.md,0207_[general]_dsa_srgs_super_resolution_gaussian_splatting_for_dynamic_sp
paper_0209_general_dm_cfo_a_diffusion_model_for_compositional_3d_tooth_generat,DM-CFO A Diffusion Model for Compositional 3D Tooth Generat,paper:0209,DM-CFO: A Diffusion Model for Compositional 3D Tooth Generation,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,0209_[General]_DM-CFO A Diffusion Model for Compositional 3D Tooth Generat.md,0209_[general]_dm_cfo_a_diffusion_model_for_compositional_3d_tooth_generat
paper_0213_general_multimodal_prior_guided_importance_sampling_for_hierarchical,Multimodal-Prior-Guided Importance Sampling for Hierarchical,paper:0213,Multimodal-Prior-Guided Importance Sampling for Hierarchical 3D Gaussian Splatting,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,0213_[General]_Multimodal-Prior-Guided Importance Sampling for Hierarchical.md,0213_[general]_multimodal_prior_guided_importance_sampling_for_hierarchical
paper_0050_slam_gi_slam_gaussian_inertial_slam,GI-SLAM Gaussian-Inertial SLAM,paper_0050,GI-SLAM,0050_[SLAM]_GI-SLAM Gaussian-Inertial SLAM.md,0050_[SLAM]_GI-SLAM Gaussian-Inertial SLAM.md,0050_[slam]_gi_slam_gaussian_inertial_slam
paper_2509_00741,2509.00741,paper_2509_00741v1_4,2509.00741v1 (4),2509.00741.md,2509.00741v1 (4).md,2509.00741
paper_2601_05738,2601.05738,paper_2601_05738v1,2601.05738v1,2601.05738.md,2601.05738v1.md,2601.05738
paper_2602_18322v1,2602.18322v1,paper_2602_18322v1_1,2602.18322v1 (1),2602.18322v1.md,2602.18322v1 (1).md,2602.18322
paper_2603_09673,2603.09673,paper_2603_09673v1,2603.09673v1,2603.09673.md,2603.09673v1.md,2603.09673
paper_2603_26599v1,2603.26599v1,paper_2603_26599v1_1,2603.26599v1 (1),2603.26599v1.md,2603.26599v1 (1).md,2603.26599
